Run	Isolate_Source1	Isolate_Source2	Isolate_Source3	Habitat
SRR10095340	Hot spring	Canada: Liard River, BC	Canada: Liard River, BC	Hot
SRR10294826	Hydrothermal related	Atlantic Ocean:Lost City Hydrothermal Field	Atlantic Ocean: Lost City Hydrothermal Field	Hot
SRR10309773	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Diffuse Flow, Brothers Volcano	Pressure
SRR10310285	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Upper Cone, Brothers Volcano	Cross_habitat
SRR10312489	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera B, Brothers Volcano	Cross_habitat
SRR10312490	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera B, Brothers Volcano	Cross_habitat
SRR10312491	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Upper Caldera Wall, Brothers Volcano	Cross_habitat
SRR10312492	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera A, Brothers Volcano	Pressure
SRR10312493	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Lower Cone, Brothers Volcano	Cross_habitat
SRR10312494	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Diffuse Flow, Brothers Volcano	Pressure
SRR10312495	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Lower Cone, Brothers Volcano	Cross_habitat
SRR10312496	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera A, Brothers Volcano	Pressure
SRR10312497	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Upper Cone, Brothers Volcano	Cross_habitat
SRR10312498	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera B, Brothers Volcano	Cross_habitat
SRR10312499	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera A, Brothers Volcano	Pressure
SRR10312500	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera A, Brothers Volcano	Pressure
SRR10312501	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera A, Brothers Volcano	Pressure
SRR10312502	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera A, Brothers Volcano	Pressure
SRR10312503	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Upper Caldera Wall, Brothers Volcano	Cross_habitat
SRR10312504	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Upper Cone, Brothers Volcano	Cross_habitat
SRR10519663	Hot spring	USA: California	USA: Cone Pool, California	Hot
SRR10846467	Saline lake	USA: Great Salt Lake	USA: Great Salt Lake	Saline-alkaline
SRR11060885	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR11582141	Hot spring	Costa Rica	Costa Rica: Borinquen hot springs	Hot
SRR11582143	Hot spring	Costa Rica	Costa Rica: Rio Cayuco hot springs	Hot
SRR11582144	Hot spring	Costa Rica	Costa Rica: Rio Cayuco hot springs	Hot
SRR11582145	Hot spring	Costa Rica	Costa Rica: Blue River hot springs	Hot
SRR11582146	Hot spring	Costa Rica	Costa Rica: Blue River hot springs	Hot
SRR11582147	Hot spring	Costa Rica	Costa Rica: Blue River hot springs	Hot
SRR11582148	Hot spring	Costa Rica	Costa Rica: Blue River hot springs	Hot
SRR11582149	Hot spring	Costa Rica	Costa Rica: El Tucano Hot Spring	Hot
SRR11582150	Hot spring	Costa Rica	Costa Rica: El Tucano Hot Spring	Hot
SRR11582153	Hot spring	Costa Rica	Costa Rica: Santa Lucia Hot Spring	Hot
SRR11582154	Hot spring	Costa Rica	Costa Rica: Santa Lucia Hot Spring	Hot
SRR11582155	Hot spring	Costa Rica	Costa Rica: Borinquen hot springs	Hot
SRR11582156	Hot spring	Costa Rica	Costa Rica: Recreo Verde deep well, flank of Poas Volcano	Hot
SRR11582161	Hot spring	Costa Rica	Costa Rica: Quepos Hot Spring (Spring #1)	Hot
SRR11582166	Hot spring	Costa Rica	Costa Rica: Borinquen hot springs	Hot
SRR11582167	Hot spring	Costa Rica	Costa Rica: 50 m open well (Mouse Trap)	Hot
SRR11582170	Hot spring	Costa Rica	Costa Rica: Finca ANDE hot spring	Hot
SRR12088346	Saline lake	Spain: Laguna del Tobar	Spain: Laguna del Tobar	Saline-alkaline
SRR12088347	Saline lake	Spain: Laguna del Tobar	Spain: Laguna del Tobar	Saline-alkaline
SRR12088348	Saline lake	Spain: Laguna del Tobar	Spain: Laguna del Tobar	Saline-alkaline
SRR12124855	Hot spring	Italy: Agnano, Naples	Italy: Agnano, Naples	Cross_habitat
SRR12124856	Hot spring	Italy: Agnano, Naples	Italy: Agnano, Naples	Hot
SRR12124857	Hot spring	Italy: Agnano, Naples	Italy: Agnano, Naples	Hot
SRR12277191	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277192	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277193	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277194	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277195	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cold
SRR12277196	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cold
SRR12277197	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cold
SRR12277198	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277199	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277200	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277201	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277202	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12366058	Antarctic saline lake	Antarcitica: Unnamed Lake-13	Antarcitica: Unnamed Lake-13	Saline-alkaline
SRR12366580	Antarctic saline lake	Antarctica: Deep Lake	Antarctica: Deep Lake	Saline-alkaline
SRR12366599	Antarctic saline lake	Antarctica: Deep Lake	Antarctica: Deep Lake	Saline-alkaline
SRR12604679	Hydrothermal related	Pacific Ocean: East Pacific Rise	Pacific Ocean: East Pacific Rise	Pressure
SRR12852618	Hydrothermal related	USA: Wyoming	USA: Yellowstone Lake, Wyoming	Cross_habitat
SRR12852619	Hydrothermal related	USA: Wyoming	USA: Yellowstone Lake, Wyoming	Cross_habitat
SRR12852620	Hydrothermal related	USA: Wyoming	USA: Yellowstone Lake, Wyoming	Cross_habitat
SRR12852621	Hydrothermal related	USA: Wyoming	USA: Yellowstone Lake, Wyoming	Cross_habitat
SRR12852622	Hydrothermal related	USA: Wyoming	USA: Yellowstone Lake, Wyoming	Cross_habitat
SRR12949764	Hot spring	USA: Wyoming	USA: NA, Wyoming	Hot
SRR12969846	Hot spring	India: Himachal Pradesh	India: Khirganga hotspring, Himachal Pradesh, Northern Hiamayas	Hot
SRR12976788	Hot spring	India: Himachal Pradesh	India: Khirganga hotspring, Himachal Pradesh, Northern Hiamayas	Hot
SRR12977061	Hot spring	India: Himachal Pradesh	India: Khirganga hotspring, Himachal Pradesh, Northern Hiamayas	Hot
SRR12989705	Hot spring	India: Himachal Pradesh	India: Khirganga hotspring, Himachal Pradesh, Northern Hiamayas	Hot
SRR12997672	Hot spring	India: Himachal Pradesh	India: Khirganga hotspring, Himachal Pradesh, Northern Hiamayas	Hot
SRR12997673	Hot spring	India: Himachal Pradesh	India: Khirganga hotspring, Himachal Pradesh, Northern Hiamayas	Hot
SRR13106729	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106730	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106731	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106732	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106733	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106734	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106735	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106736	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106737	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106739	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106740	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13162838	Acid mine drainage	China: Guizhou	China: Banpo Antimony Mine, Guizhou Province	Acid
SRR13164998	Acid mine drainage	China: Jiangxi	China: Dexing Copper Mine, Jiangxi Province	Acid
SRR13170410	Acid mine drainage	China: Guangdong	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	Acid
SRR13170411	Acid mine drainage	China: Guangdong	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	Acid
SRR13170412	Acid mine drainage	China: Guangdong	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	Acid
SRR13170413	Acid mine drainage	China: Guangdong	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	Acid
SRR13170414	Acid mine drainage	China: Jiangxi	China: Dexing Copper Mine, Jiangxi Province	Acid
SRR13170451	Acid mine drainage	China: Guizhou	China: Banpo Antimony Mine, Guizhou Province	Acid
SRR13178627	Acid mine drainage	China: Guizhou	China: Banpo Antimony Mine, Guizhou Province	Acid
SRR13178628	Acid mine drainage	China: Guizhou	China: Banpo Antimony Mine, Guizhou Province	Acid
SRR13178629	Acid mine drainage	China: Guangdong	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	Acid
