Habitat	MAGs	GTDB	Quality	Not_Asso_MGE_Aronumber	Asso_MGE_Aronumber
Acid	NMDC60106723	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	1	0
Acid	NMDC60104168	d__Bacteria;p__SZUA-79;c__SZUA-79;o__Acidulodesulfobacterales;f__SZUA-79;g__Acididesulfobacter;s__	Medium-quality	0	0
Acid	NMDC60065412	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2196;f__S139-112;g__S139-112;s__S139-112 sp015485715	Medium-quality	1	0
Acid	NMDC60105791	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	Medium-quality	2	0
Acid	NMDC60119256	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Medium-quality	2	0
Acid	NMDC60099346	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidocella;s__	Medium-quality	1	0
Acid	NMDC60082435	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Rubinisphaera;s__	Medium-quality	2	0
Acid	NMDC60082783	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__S010-51;s__	Medium-quality	1	0
Acid	NMDC60064614	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__	High-quality	2	0
Acid	NMDC60106721	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60082900	d__Bacteria;p__Aquificota;c__Aquificae;o__Aquificales;f__Aquificaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60106816	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__GWC2-42-7;s__	Medium-quality	1	0
Acid	NMDC60121220	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__	Medium-quality	2	0
Acid	NMDC60099833	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60099446	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__;s__	Medium-quality	4	0
Acid	NMDC60083281	d__Bacteria;p__Myxococcota;c__UBA6777;o__UBA6777;f__;g__;s__	Medium-quality	2	0
Acid	NMDC60101844	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp018971185	Medium-quality	1	0
Acid	NMDC60106148	d__Bacteria;p__SpSt-318;c__SpSt-318;o__SpSt-318;f__SpSt-318;g__;s__	High-quality	2	0
Acid	NMDC60100684	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60103998	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60102140	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665_A;g__;s__	Medium-quality	1	0
Acid	NMDC60082842	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__WAQN01;s__WAQN01 sp015520195	Medium-quality	0	0
Acid	NMDC60106773	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__CAIYCT01;s__	Medium-quality	3	0
Acid	NMDC60101051	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__Methylacidiphilaceae;g__Methylacidimicrobium;s__	Medium-quality	1	0
Acid	NMDC60106703	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__	Medium-quality	2	0
Acid	NMDC60102461	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Palsa-461;s__	Medium-quality	2	0
Acid	NMDC60106170	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__NGM72-4;g__Limisphaera;s__	High-quality	3	0
Acid	NMDC60106404	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__	Medium-quality	2	0
Acid	NMDC60099157	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__	Medium-quality	0	0
Acid	NMDC60102454	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Chromulinavoraceae;g__JACPFN01;s__	Medium-quality	0	0
Acid	NMDC60084663	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Saccharolobus;s__Saccharolobus islandicus	Medium-quality	0	0
Acid	NMDC60100392	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__PALSA-457;s__	Medium-quality	1	0
Acid	NMDC60082406	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__	Medium-quality	1	0
Acid	NMDC60101112	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Metallibacterium;s__	Medium-quality	4	0
Acid	NMDC60104287	d__Bacteria;p__Firmicutes_E;c__Sulfobacillia;o__Sulfobacillales;f__;g__;s__	Medium-quality	3	0
Acid	NMDC60104682	d__Bacteria;p__Firmicutes_E;c__Sulfobacillia;o__Sulfobacillales;f__Sulfobacillaceae;g__Sulfobacillus;s__	Medium-quality	2	0
Acid	NMDC60083334	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA5972;s__UBA5972 sp015487165	Medium-quality	0	0
Acid	NMDC60102247	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__Bog-877;g__;s__	Medium-quality	1	0
Acid	NMDC60105866	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__REEB77;s__	Medium-quality	2	0
Acid	NMDC60099914	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__Acidiferrobacter;s__	Medium-quality	3	0
Acid	NMDC60082340	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__;s__	Medium-quality	3	0
Acid	NMDC60102282	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	Medium-quality	16	0
Acid	NMDC60099334	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__JADMIL01;s__	Medium-quality	2	0
Acid	NMDC60099579	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA6821;g__UBA6821;s__	Medium-quality	6	0
Acid	NMDC60106763	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__JACRMN01;s__	Medium-quality	1	0
Acid	NMDC60103766	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__	Medium-quality	4	0
Acid	NMDC60100642	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Bellilinea;s__	Medium-quality	0	0
Acid	NMDC60105328	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__PPGL01;s__	Medium-quality	1	0
Acid	NMDC60095720	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Caldivirga;s__	Medium-quality	0	0
Acid	NMDC60119215	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60082941	d__Bacteria;p__Acidobacteriota;c__HRBIN11;o__HRBIN11;f__HRBIN11;g__;s__	Medium-quality	1	0
Acid	NMDC60102651	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__UBA184;s__	Medium-quality	0	0
Acid	NMDC60065442	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__S017-3;s__S017-3 sp015488995	Medium-quality	1	1
Acid	NMDC60098733	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__JACPZF01;f__;g__;s__	Medium-quality	1	0
Acid	NMDC60079271	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__TOLSYN;s__TOLSYN sp903851035	Medium-quality	2	0
Acid	NMDC60103052	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60079342	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__PALSA-747;s__PALSA-747 sp903932695	Medium-quality	3	0
Acid	NMDC60095728	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__	Medium-quality	0	0
Acid	NMDC60098845	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Daviesbacterales;f__UBA10151;g__GWC1-40-9;s__	Medium-quality	1	0
Acid	NMDC60099070	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__;s__	High-quality	0	0
Acid	NMDC60106750	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Niveibacterium;s__	Medium-quality	4	0
Acid	NMDC60105400	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__UBA5976;g__;s__	Medium-quality	3	0
Acid	NMDC60082922	d__Bacteria;p__UBP7;c__UBA6624;o__;f__;g__;s__	Medium-quality	2	0
Acid	NMDC60102950	d__Bacteria;p__Myxococcota;c__Myxococcia;o__;f__;g__;s__	Medium-quality	2	0
Acid	NMDC60095727	d__Bacteria;p__Campylobacterota;c__Desulfurellia;o__Desulfurellales;f__Desulfurellaceae;g__Desulfurella;s__	Medium-quality	3	0
Acid	NMDC60082518	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Jhaorihella;s__	Medium-quality	1	0
Acid	NMDC60100704	d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__Dethiobacterales;f__Dethiobacteraceae;g__GPS1B09;s__GPS1B09 sp018333455	Medium-quality	0	1
Acid	NMDC60083308	d__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__Ghiorsea;s__	Medium-quality	1	0
Acid	NMDC60105943	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60083374	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas sp015488615	Medium-quality	1	0
Acid	NMDC60104173	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Ferrovaceae;g__;s__	Medium-quality	4	0
Acid	NMDC60103550	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus scotoductus	Medium-quality	3	0
Acid	NMDC60082100	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Putridiphycobacter;s__	Medium-quality	1	0
Acid	NMDC60100996	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Palsa-881;s__	High-quality	3	1
Acid	NMDC60106154	d__Bacteria;p__Spirochaetota;c__JAAYUW01;o__JAAYUW01;f__JAAYUW01;g__Exilispira;s__	Medium-quality	1	0
