MAGs	Habitat	Core	Dispensable	Unique
NMDC60064614	Acid	184	59	0
NMDC60064625	Acid	180	63	1
NMDC60064777	Acid	184	59	0
NMDC60065409	Acid	178	41	0
NMDC60065426	Acid	83	7	0
NMDC60065769	Acid	185	52	0
NMDC60065776	Acid	140	12	0
NMDC60065777	Acid	127	5	0
NMDC60065827	Acid	184	90	0
NMDC60079341	Acid	184	47	0
NMDC60082084	Acid	105	6	0
NMDC60082323	Acid	109	7	0
NMDC60082326	Acid	143	4	0
NMDC60082368	Acid	152	6	0
NMDC60082383	Acid	81	8	0
NMDC60082433	Acid	180	40	0
NMDC60082467	Acid	49	0	0
NMDC60082778	Acid	162	20	0
NMDC60082802	Acid	141	5	0
NMDC60082821	Acid	124	11	0
NMDC60082848	Acid	136	8	0
NMDC60082849	Acid	137	2	0
NMDC60082855	Acid	184	45	0
NMDC60082869	Acid	91	7	0
NMDC60082902	Acid	184	63	0
NMDC60082939	Acid	153	14	0
NMDC60083245	Acid	184	36	0
NMDC60083253	Acid	184	45	0
NMDC60083264	Acid	178	38	0
NMDC60083272	Acid	127	2	0
NMDC60083277	Acid	58	4	0
NMDC60083298	Acid	184	45	0
NMDC60083309	Acid	24	5	0
NMDC60083320	Acid	127	2	0
NMDC60083322	Acid	43	2	0
NMDC60083342	Acid	10	1	0
NMDC60084650	Acid	126	15	0
NMDC60084659	Acid	127	11	0
NMDC60084660	Acid	144	20	0
NMDC60084664	Acid	104	6	0
NMDC60092435	Acid	144	20	0
NMDC60092517	Acid	110	8	0
NMDC60092531	Acid	100	2	0
NMDC60092540	Acid	107	9	0
NMDC60092547	Acid	88	7	0
NMDC60092553	Acid	133	1	0
NMDC60095714	Acid	137	2	0
NMDC60095722	Acid	83	7	0
NMDC60095729	Acid	79	2	0
NMDC60095733	Acid	162	20	0
NMDC60095816	Acid	162	20	0
NMDC60098537	Acid	185	52	0
NMDC60098756	Acid	185	52	0
NMDC60098848	Acid	178	41	0
NMDC60098849	Acid	185	52	0
NMDC60099070	Acid	162	20	0
NMDC60099096	Acid	162	20	0
NMDC60099111	Acid	140	12	0
NMDC60099128	Acid	184	45	0
NMDC60099205	Acid	180	32	0
NMDC60099216	Acid	169	19	0
NMDC60099229	Acid	185	52	0
NMDC60099275	Acid	135	6	0
NMDC60099325	Acid	10	0	0
NMDC60099426	Acid	177	27	0
NMDC60099459	Acid	185	52	0
NMDC60099484	Acid	178	41	0
NMDC60099497	Acid	123	10	0
NMDC60099566	Acid	184	45	0
NMDC60099620	Acid	148	7	0
NMDC60099623	Acid	177	27	0
NMDC60099645	Acid	184	59	0
NMDC60099653	Acid	162	14	0
NMDC60099661	Acid	175	19	0
NMDC60099685	Acid	173	16	0
NMDC60099788	Acid	162	20	0
NMDC60099854	Acid	162	20	0
NMDC60100042	Acid	162	20	0
NMDC60100154	Acid	184	63	0
NMDC60100306	Acid	162	20	0
NMDC60100369	Acid	148	7	0
NMDC60100535	Acid	148	7	0
NMDC60100628	Acid	178	41	0
NMDC60100668	Acid	121	4	0
NMDC60100677	Acid	184	47	0
NMDC60100700	Acid	163	13	0
NMDC60100706	Acid	155	11	0
NMDC60100718	Acid	183	53	0
NMDC60100723	Acid	182	28	0
NMDC60100767	Acid	162	20	0
NMDC60100805	Acid	129	5	0
NMDC60100849	Acid	184	33	0
NMDC60100995	Acid	177	27	0
NMDC60100996	Acid	180	32	0
NMDC60101144	Acid	173	16	0
NMDC60101236	Acid	122	17	0
NMDC60101247	Acid	119	4	0
NMDC60101377	Acid	112	2	0
NMDC60101617	Acid	180	49	0
NMDC60101664	Acid	140	12	0
NMDC60101673	Acid	180	32	0
NMDC60101713	Acid	73	6	0
NMDC60101946	Acid	32	2	0
NMDC60102040	Acid	130	8	0
NMDC60102051	Acid	157	15	0
NMDC60102204	Acid	180	49	0
NMDC60102245	Acid	183	53	0
NMDC60102328	Acid	184	59	0
NMDC60102416	Acid	162	20	0
