Habitat	Phyla	BiG.SCAPE_class	protein_number
Hot	Proteobacteria (1506)	Others	418
Hot	Chloroflexota (553)	Others	55
Hot	Bacteroidota (549)	Others	84
Hot	Desulfobacterota (461)	Others	162
Hot	Planctomycetota (443)	Others	45
Hot	Acidobacteriota (347)	Others	42
Hot	Verrucomicrobiota (210)	Others	30
Hot	Cyanobacteria (208)	Others	20
Hot	Thermoproteota (175)	Others	25
Hot	Armatimonadota (166)	Others	9
Hot	Proteobacteria (1506)	Terpene	340
Hot	Chloroflexota (553)	Terpene	215
Hot	Bacteroidota (549)	Terpene	241
Hot	Desulfobacterota (461)	Terpene	38
Hot	Planctomycetota (443)	Terpene	188
Hot	Acidobacteriota (347)	Terpene	116
Hot	Verrucomicrobiota (210)	Terpene	123
Hot	Cyanobacteria (208)	Terpene	77
Hot	Thermoproteota (175)	Terpene	16
Hot	Armatimonadota (166)	Terpene	55
Hot	Proteobacteria (1506)	Saccharides	1
Hot	Chloroflexota (553)	Saccharides	2
Hot	Bacteroidota (549)	Saccharides	0
Hot	Desulfobacterota (461)	Saccharides	0
Hot	Planctomycetota (443)	Saccharides	0
Hot	Acidobacteriota (347)	Saccharides	0
Hot	Verrucomicrobiota (210)	Saccharides	0
Hot	Cyanobacteria (208)	Saccharides	0
Hot	Thermoproteota (175)	Saccharides	0
Hot	Armatimonadota (166)	Saccharides	0
Hot	Proteobacteria (1506)	RiPPs	446
Hot	Chloroflexota (553)	RiPPs	154
Hot	Bacteroidota (549)	RiPPs	123
Hot	Desulfobacterota (461)	RiPPs	136
Hot	Planctomycetota (443)	RiPPs	64
Hot	Acidobacteriota (347)	RiPPs	100
Hot	Verrucomicrobiota (210)	RiPPs	16
Hot	Cyanobacteria (208)	RiPPs	43
Hot	Thermoproteota (175)	RiPPs	130
Hot	Armatimonadota (166)	RiPPs	92
Hot	Proteobacteria (1506)	PKSother	63
Hot	Chloroflexota (553)	PKSother	60
Hot	Bacteroidota (549)	PKSother	38
Hot	Desulfobacterota (461)	PKSother	59
Hot	Planctomycetota (443)	PKSother	58
Hot	Acidobacteriota (347)	PKSother	22
Hot	Verrucomicrobiota (210)	PKSother	21
Hot	Cyanobacteria (208)	PKSother	14
Hot	Thermoproteota (175)	PKSother	4
Hot	Armatimonadota (166)	PKSother	1
Hot	Proteobacteria (1506)	PKS-NRP_Hybrids	37
Hot	Chloroflexota (553)	PKS-NRP_Hybrids	8
Hot	Bacteroidota (549)	PKS-NRP_Hybrids	9
Hot	Desulfobacterota (461)	PKS-NRP_Hybrids	6
Hot	Planctomycetota (443)	PKS-NRP_Hybrids	6
Hot	Acidobacteriota (347)	PKS-NRP_Hybrids	2
Hot	Verrucomicrobiota (210)	PKS-NRP_Hybrids	4
Hot	Cyanobacteria (208)	PKS-NRP_Hybrids	9
Hot	Thermoproteota (175)	PKS-NRP_Hybrids	0
Hot	Armatimonadota (166)	PKS-NRP_Hybrids	0
Hot	Proteobacteria (1506)	PKSI	48
Hot	Chloroflexota (553)	PKSI	9
Hot	Bacteroidota (549)	PKSI	4
Hot	Desulfobacterota (461)	PKSI	23
Hot	Planctomycetota (443)	PKSI	11
Hot	Acidobacteriota (347)	PKSI	0
Hot	Verrucomicrobiota (210)	PKSI	1
Hot	Cyanobacteria (208)	PKSI	8
Hot	Thermoproteota (175)	PKSI	0
Hot	Armatimonadota (166)	PKSI	0
Hot	Proteobacteria (1506)	NRPS	153
Hot	Chloroflexota (553)	NRPS	50
Hot	Bacteroidota (549)	NRPS	50
Hot	Desulfobacterota (461)	NRPS	37
Hot	Planctomycetota (443)	NRPS	71
Hot	Acidobacteriota (347)	NRPS	65
Hot	Verrucomicrobiota (210)	NRPS	15
Hot	Cyanobacteria (208)	NRPS	37
Hot	Thermoproteota (175)	NRPS	0
Hot	Armatimonadota (166)	NRPS	9
Pressure	Proteobacteria (2277)	Others	636
Pressure	Desulfobacterota (854)	Others	256
Pressure	Bacteroidota (681)	Others	210
Pressure	Planctomycetota (430)	Others	66
Pressure	Acidobacteriota (335)	Others	20
Pressure	Campylobacterota (334)	Others	130
Pressure	Chloroflexota (302)	Others	48
Pressure	Actinobacteriota (216)	Others	31
Pressure	Aquificota (137)	Others	9
Pressure	Myxococcota (132)	Others	27
Pressure	Proteobacteria (2277)	Terpene	483
Pressure	Desulfobacterota (854)	Terpene	75
Pressure	Bacteroidota (681)	Terpene	133
Pressure	Planctomycetota (430)	Terpene	136
Pressure	Acidobacteriota (335)	Terpene	42
Pressure	Campylobacterota (334)	Terpene	0
Pressure	Chloroflexota (302)	Terpene	79
Pressure	Actinobacteriota (216)	Terpene	51
Pressure	Aquificota (137)	Terpene	0
Pressure	Myxococcota (132)	Terpene	19
Pressure	Proteobacteria (2277)	Saccharides	2
Pressure	Desulfobacterota (854)	Saccharides	0
Pressure	Bacteroidota (681)	Saccharides	0
Pressure	Planctomycetota (430)	Saccharides	0
Pressure	Acidobacteriota (335)	Saccharides	0
Pressure	Campylobacterota (334)	Saccharides	0
Pressure	Chloroflexota (302)	Saccharides	0
Pressure	Actinobacteriota (216)	Saccharides	0
Pressure	Aquificota (137)	Saccharides	0
Pressure	Myxococcota (132)	Saccharides	0
Pressure	Proteobacteria (2277)	RiPPs	718
Pressure	Desulfobacterota (854)	RiPPs	308
Pressure	Bacteroidota (681)	RiPPs	217
Pressure	Planctomycetota (430)	RiPPs	76
Pressure	Acidobacteriota (335)	RiPPs	110
Pressure	Campylobacterota (334)	RiPPs	187
Pressure	Chloroflexota (302)	RiPPs	98
Pressure	Actinobacteriota (216)	RiPPs	56
Pressure	Aquificota (137)	RiPPs	85
Pressure	Myxococcota (132)	RiPPs	39
Pressure	Proteobacteria (2277)	PKSother	99
Pressure	Desulfobacterota (854)	PKSother	96
Pressure	Bacteroidota (681)	PKSother	32
Pressure	Planctomycetota (430)	PKSother	53
Pressure	Acidobacteriota (335)	PKSother	26
Pressure	Campylobacterota (334)	PKSother	0
Pressure	Chloroflexota (302)	PKSother	27
Pressure	Actinobacteriota (216)	PKSother	16
Pressure	Aquificota (137)	PKSother	7
Pressure	Myxococcota (132)	PKSother	26
Pressure	Proteobacteria (2277)	PKS-NRP_Hybrids	50
Pressure	Desulfobacterota (854)	PKS-NRP_Hybrids	4
Pressure	Bacteroidota (681)	PKS-NRP_Hybrids	17
Pressure	Planctomycetota (430)	PKS-NRP_Hybrids	10
Pressure	Acidobacteriota (335)	PKS-NRP_Hybrids	17
Pressure	Campylobacterota (334)	PKS-NRP_Hybrids	0
Pressure	Chloroflexota (302)	PKS-NRP_Hybrids	10
Pressure	Actinobacteriota (216)	PKS-NRP_Hybrids	0
Pressure	Aquificota (137)	PKS-NRP_Hybrids	0
Pressure	Myxococcota (132)	PKS-NRP_Hybrids	2
Pressure	Proteobacteria (2277)	PKSI	58
Pressure	Desulfobacterota (854)	PKSI	47
Pressure	Bacteroidota (681)	PKSI	10
Pressure	Planctomycetota (430)	PKSI	25
Pressure	Acidobacteriota (335)	PKSI	11
Pressure	Campylobacterota (334)	PKSI	1
Pressure	Chloroflexota (302)	PKSI	3
Pressure	Actinobacteriota (216)	PKSI	20
Pressure	Aquificota (137)	PKSI	0
Pressure	Myxococcota (132)	PKSI	10
Pressure	Proteobacteria (2277)	NRPS	231
Pressure	Desulfobacterota (854)	NRPS	68
Pressure	Bacteroidota (681)	NRPS	62
Pressure	Planctomycetota (430)	NRPS	64
Pressure	Acidobacteriota (335)	NRPS	109
Pressure	Campylobacterota (334)	NRPS	16
Pressure	Chloroflexota (302)	NRPS	37
Pressure	Actinobacteriota (216)	NRPS	42
Pressure	Aquificota (137)	NRPS	36
Pressure	Myxococcota (132)	NRPS	9
Saline_alkaline	Proteobacteria (2373)	Others	834
Saline_alkaline	Bacteroidota (1310)	Others	180
Saline_alkaline	Planctomycetota (490)	Others	60
Saline_alkaline	Desulfobacterota (481)	Others	173
Saline_alkaline	Verrucomicrobiota (394)	Others	84
Saline_alkaline	Actinobacteriota (381)	Others	73
Saline_alkaline	Halobacteriota (354)	Others	19
Saline_alkaline	Myxococcota (260)	Others	25
Saline_alkaline	Chloroflexota (183)	Others	20
Saline_alkaline	Cyanobacteria (159)	Others	16
Saline_alkaline	Proteobacteria (2373)	Terpene	627
Saline_alkaline	Bacteroidota (1310)	Terpene	566
