Environment	Method	Allfaa_num	Proportion	Identity	Selectfaa_num	Selectfaa_cluster_num
acid	single_merge	18198313	100	50	18198313	5021001
acid	single_merge	18198313	100	75	18198313	6413133
acid	single_merge	18198313	100	95	18198313	7995572
acid	single_merge	18198313	90	50	16378481	4682524
acid	single_merge	18198313	90	75	16378481	5992023
acid	single_merge	18198313	90	95	16378481	7461879
acid	single_merge	18198313	80	50	14558650	4329116
acid	single_merge	18198313	80	75	14558650	5552825
acid	single_merge	18198313	80	95	14558650	6902594
acid	single_merge	18198313	70	50	12738819	3957114
acid	single_merge	18198313	70	75	12738819	5088500
acid	single_merge	18198313	70	95	12738819	6313225
acid	single_merge	18198313	60	50	10918987	3563178
acid	single_merge	18198313	60	75	10918987	4591642
acid	single_merge	18198313	60	95	10918987	5682587
acid	single_merge	18198313	50	50	9099156	3145040
acid	single_merge	18198313	50	75	9099156	4062855
acid	single_merge	18198313	50	95	9099156	5009705
acid	single_merge	18198313	40	50	7279325	2694490
acid	single_merge	18198313	40	75	7279325	3486581
acid	single_merge	18198313	40	95	7279325	4275471
acid	single_merge	18198313	30	50	5459493	2199314
acid	single_merge	18198313	30	75	5459493	2847931
acid	single_merge	18198313	30	95	5459493	3463548
acid	single_merge	18198313	20	50	3639662	1641596
acid	single_merge	18198313	20	75	3639662	2123549
acid	single_merge	18198313	20	95	3639662	2547227
acid	single_merge	18198313	10	50	1819831	977922
acid	single_merge	18198313	10	75	1819831	1250386
acid	single_merge	18198313	10	95	1819831	1454923
