Environment	Method	Allfaa_num	Proportion	Identity	Selectfaa_num	Selectfaa_cluster_num
cold	single_merge	34885823	100	50	34885823	10820166
cold	single_merge	34885823	100	75	34885823	13723878
cold	single_merge	34885823	100	95	34885823	16472199
cold	single_merge	34885823	90	50	31397240	10098599
cold	single_merge	34885823	90	75	31397240	12836578
cold	single_merge	34885823	90	95	31397240	15371020
cold	single_merge	34885823	80	50	27908658	9346008
cold	single_merge	34885823	80	75	27908658	11905942
cold	single_merge	34885823	80	95	27908658	14215252
cold	single_merge	34885823	70	50	24420076	8551144
cold	single_merge	34885823	70	75	24420076	10918146
cold	single_merge	34885823	70	95	24420076	12989109
cold	single_merge	34885823	60	50	20931493	7707960
cold	single_merge	34885823	60	75	20931493	9863144
cold	single_merge	34885823	60	95	20931493	11683872
cold	single_merge	34885823	50	50	17442911	6808941
cold	single_merge	34885823	50	75	17442911	8728090
cold	single_merge	34885823	50	95	17442911	10280642
cold	single_merge	34885823	40	50	13954329	5830130
cold	single_merge	34885823	40	75	13954329	7484721
cold	single_merge	34885823	40	95	13954329	8752264
cold	single_merge	34885823	30	50	10465746	4754839
cold	single_merge	34885823	30	75	10465746	6106102
cold	single_merge	34885823	30	95	10465746	7067115
cold	single_merge	34885823	20	50	6977164	3533404
cold	single_merge	34885823	20	75	6977164	4522983
cold	single_merge	34885823	20	95	6977164	5156284
cold	single_merge	34885823	10	50	3488582	2076454
cold	single_merge	34885823	10	75	3488582	2619290
cold	single_merge	34885823	10	95	3488582	2905318
