Environment	Method	Allfaa_num	Proportion	Identity	Selectfaa_num	Selectfaa_cluster_num
hot	single_merge	18180667	100	50	18180667	6831784
hot	single_merge	18180667	100	75	18180667	8778093
hot	single_merge	18180667	100	95	18180667	10698553
hot	single_merge	18180667	90	50	16362600	6340763
hot	single_merge	18180667	90	75	16362600	8154051
hot	single_merge	18180667	90	95	16362600	9905583
hot	single_merge	18180667	80	50	14544533	5829916
hot	single_merge	18180667	80	75	14544533	7502934
hot	single_merge	18180667	80	95	14544533	9074217
hot	single_merge	18180667	70	50	12726466	5294313
hot	single_merge	18180667	70	75	12726466	6812503
hot	single_merge	18180667	70	95	12726466	8197697
hot	single_merge	18180667	60	50	10908400	4725016
hot	single_merge	18180667	60	75	10908400	6080222
hot	single_merge	18180667	60	95	10908400	7273180
hot	single_merge	18180667	50	50	9090333	4123737
hot	single_merge	18180667	50	75	9090333	5299854
hot	single_merge	18180667	50	95	9090333	6290058
hot	single_merge	18180667	40	50	7272266	3481604
hot	single_merge	18180667	40	75	7272266	4465002
hot	single_merge	18180667	40	95	7272266	5246192
hot	single_merge	18180667	30	50	5454200	2787048
hot	single_merge	18180667	30	75	5454200	3554818
hot	single_merge	18180667	30	95	5454200	4124395
hot	single_merge	18180667	20	50	3636133	2021124
hot	single_merge	18180667	20	75	3636133	2555006
hot	single_merge	18180667	20	95	3636133	2909730
hot	single_merge	18180667	10	50	1818066	1152842
hot	single_merge	18180667	10	75	1818066	1425577
hot	single_merge	18180667	10	95	1818066	1572641
