Environment	Method	Allfaa_num	Proportion	Identity	Selectfaa_num	Selectfaa_cluster_num
pressure	single_merge	20912147	100	50	20912147	8052193
pressure	single_merge	20912147	100	75	20912147	10612978
pressure	single_merge	20912147	100	95	20912147	13334841
pressure	single_merge	20912147	90	50	18820932	7445225
pressure	single_merge	20912147	90	75	18820932	9821278
pressure	single_merge	20912147	90	95	18820932	12286904
pressure	single_merge	20912147	80	50	16729717	6816942
pressure	single_merge	20912147	80	75	16729717	9000555
pressure	single_merge	20912147	80	95	16729717	11200500
pressure	single_merge	20912147	70	50	14638502	6166015
pressure	single_merge	20912147	70	75	14638502	8142278
pressure	single_merge	20912147	70	95	14638502	10071231
pressure	single_merge	20912147	60	50	12547288	5483222
pressure	single_merge	20912147	60	75	12547288	7242264
pressure	single_merge	20912147	60	95	12547288	8891674
pressure	single_merge	20912147	50	50	10456073	4771866
pressure	single_merge	20912147	50	75	10456073	6295178
pressure	single_merge	20912147	50	95	10456073	7659197
pressure	single_merge	20912147	40	50	8364858	4013383
pressure	single_merge	20912147	40	75	8364858	5284667
pressure	single_merge	20912147	40	95	8364858	6356882
pressure	single_merge	20912147	30	50	6273644	3201620
pressure	single_merge	20912147	30	75	6273644	4202675
pressure	single_merge	20912147	30	95	6273644	4977683
pressure	single_merge	20912147	20	50	4182429	2321055
pressure	single_merge	20912147	20	75	4182429	3016870
pressure	single_merge	20912147	20	95	4182429	3497081
pressure	single_merge	20912147	10	50	2091214	1316854
pressure	single_merge	20912147	10	75	2091214	1674307
pressure	single_merge	20912147	10	95	2091214	1872697
