Environment	Method	Allfaa_num	Proportion	Identity	Selectfaa_num	Selectfaa_cluster_num
saline_alkaline	single_merge	20679416	100	50	20679416	6841615
saline_alkaline	single_merge	20679416	100	75	20679416	8864584
saline_alkaline	single_merge	20679416	100	95	20679416	10887614
saline_alkaline	single_merge	20679416	90	50	18611474	6366706
saline_alkaline	single_merge	20679416	90	75	18611474	8267454
saline_alkaline	single_merge	20679416	90	95	18611474	10137781
saline_alkaline	single_merge	20679416	80	50	16543532	5870482
saline_alkaline	single_merge	20679416	80	75	16543532	7641242
saline_alkaline	single_merge	20679416	80	95	16543532	9344695
saline_alkaline	single_merge	20679416	70	50	14475591	5346217
saline_alkaline	single_merge	20679416	70	75	14475591	6972692
saline_alkaline	single_merge	20679416	70	95	14475591	8500644
saline_alkaline	single_merge	20679416	60	50	12407649	4790658
saline_alkaline	single_merge	20679416	60	75	12407649	6258953
saline_alkaline	single_merge	20679416	60	95	12407649	7599531
saline_alkaline	single_merge	20679416	50	50	10339708	4197980
saline_alkaline	single_merge	20679416	50	75	10339708	5491106
saline_alkaline	single_merge	20679416	50	95	10339708	6631049
saline_alkaline	single_merge	20679416	40	50	8271766	3559270
saline_alkaline	single_merge	20679416	40	75	8271766	4657542
saline_alkaline	single_merge	20679416	40	95	8271766	5583325
saline_alkaline	single_merge	20679416	30	50	6203824	2866654
saline_alkaline	single_merge	20679416	30	75	6203824	3743153
saline_alkaline	single_merge	20679416	30	95	6203824	4439649
saline_alkaline	single_merge	20679416	20	50	4135883	2093191
saline_alkaline	single_merge	20679416	20	75	4135883	2716280
saline_alkaline	single_merge	20679416	20	95	4135883	3171811
saline_alkaline	single_merge	20679416	10	50	2067941	1201944
saline_alkaline	single_merge	20679416	10	75	2067941	1529907
saline_alkaline	single_merge	20679416	10	95	2067941	1737097
