GenomeID	Region_filename	Region_length	Product_prediction	BiG-SCAPE_class	GTDB	Type	From	Phyla	NMDC_ID
SRR5486140_metaspades_bin_refinement.12	SRR5486140_metaspades_bin_refinement.12_c00126_NODE_53...region001.gbk	5193	hglE-KS	PKSother	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__B10-G9;s__	New	Single	p__Chloroflexota	NMDC60071989
SRR5486140_metaspades_bin_refinement.18	SRR5486140_metaspades_bin_refinement.18_c00030_NODE_14...region001.gbk	15057	RRE-containing	RiPPs	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter;s__	New	Single	p__Bacteroidota	NMDC60071994
SRR5486140_metaspades_bin_refinement.20	SRR5486140_metaspades_bin_refinement.20_c00120_NODE_41...region001.gbk	5908	hglE-KS	PKSother	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__B10-G9;s__	New	Single	p__Chloroflexota	NMDC60071995
SRR5486140_metaspades_bin_refinement.21	SRR5486140_metaspades_bin_refinement.21_c00025_NODE_21...region001.gbk	8519	hserlactone	Others	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__	New	Single	p__Proteobacteria	NMDC60071996
SRR5486140_metaspades_bin_refinement.21	SRR5486140_metaspades_bin_refinement.21_c00104_NODE_45...region001.gbk	5647	NRPS-like	NRPS	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__	New	Single	p__Proteobacteria	NMDC60071996
SRR5486140_metaspades_bin_refinement.9	SRR5486140_metaspades_bin_refinement.9_c00121_NODE_47...region001.gbk	5505	RRE-containing	RiPPs	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2210;g__JAFGBH01;s__	New	Single	p__Desulfobacterota	NMDC60072003
SRR8799000_megahit_bin_refinement.11	SRR8799000_megahit_bin_refinement.11_k141_156147.region001.gbk	15533	NRPS-like	NRPS	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidoferrales;f__2-02-FULL-67-57;g__;s__	New	Single	p__Acidobacteriota	NMDC60079609
SRR8799000_megahit_bin_refinement.11	SRR8799000_megahit_bin_refinement.11_k141_21135.region001.gbk	12670	NRPS-like	NRPS	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidoferrales;f__2-02-FULL-67-57;g__;s__	New	Single	p__Acidobacteriota	NMDC60079609
SRR8799000_megahit_bin_refinement.11	SRR8799000_megahit_bin_refinement.11_k141_83350.region001.gbk	28302	T3PKS	PKSother	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidoferrales;f__2-02-FULL-67-57;g__;s__	New	Single	p__Acidobacteriota	NMDC60079609
SRR8799000_megahit_bin_refinement.15	SRR8799000_megahit_bin_refinement.15_k141_123736.region001.gbk	6130	T3PKS	PKSother	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Scalinduaceae;g__Scalindua_A;s__Scalindua_A sediminis	Annotated	Single	p__Planctomycetota	NMDC60079611
SRR8799000_megahit_bin_refinement.15	SRR8799000_megahit_bin_refinement.15_k141_142413.region001.gbk	58117	ladderane	Others	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Scalinduaceae;g__Scalindua_A;s__Scalindua_A sediminis	Annotated	Single	p__Planctomycetota	NMDC60079611
SRR8799000_megahit_bin_refinement.15	SRR8799000_megahit_bin_refinement.15_k141_19002.region001.gbk	22040	terpene	Terpene	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Scalinduaceae;g__Scalindua_A;s__Scalindua_A sediminis	Annotated	Single	p__Planctomycetota	NMDC60079611
SRR8799000_megahit_bin_refinement.17	SRR8799000_megahit_bin_refinement.17_k141_112355.region001.gbk	6292	redox-cofactor	RiPPs	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__CADEGL01;f__;g__;s__	New	Single	p__Proteobacteria	NMDC60079612
SRR8799000_megahit_bin_refinement.17	SRR8799000_megahit_bin_refinement.17_k141_119076.region001.gbk	5020	T3PKS	PKSother	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__CADEGL01;f__;g__;s__	New	Single	p__Proteobacteria	NMDC60079612
SRR8799000_megahit_bin_refinement.17	SRR8799000_megahit_bin_refinement.17_k141_149374.region001.gbk	6201	terpene	Terpene	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__CADEGL01;f__;g__;s__	New	Single	p__Proteobacteria	NMDC60079612
SRR8799000_megahit_bin_refinement.17	SRR8799000_megahit_bin_refinement.17_k141_64838.region001.gbk	11590	terpene	Terpene	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__CADEGL01;f__;g__;s__	New	Single	p__Proteobacteria	NMDC60079612
SRR8799000_megahit_bin_refinement.1	SRR8799000_megahit_bin_refinement.1_k141_158450.region001.gbk	5522	terpene	Terpene	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__2-02-FULL-50-16-A;g__2-02-FULL-50-16-A;s__	New	Single	p__Planctomycetota	NMDC60079607
SRR8799000_megahit_bin_refinement.1	SRR8799000_megahit_bin_refinement.1_k141_40406.region001.gbk	5171	ladderane	Others	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__2-02-FULL-50-16-A;g__2-02-FULL-50-16-A;s__	New	Single	p__Planctomycetota	NMDC60079607
SRR8799000_megahit_bin_refinement.1	SRR8799000_megahit_bin_refinement.1_k141_94458.region001.gbk	6265	ladderane	Others	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__2-02-FULL-50-16-A;g__2-02-FULL-50-16-A;s__	New	Single	p__Planctomycetota	NMDC60079607
SRR8799000_megahit_bin_refinement.2	SRR8799000_megahit_bin_refinement.2_k141_150958.region001.gbk	20252	RRE-containing	RiPPs	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__NIOZ-UU13;s__	New	Single	p__Planctomycetota	NMDC60079613
