GenomeID	Region_filename	Region_length	Product_prediction	BiG-SCAPE_class	GTDB	Type	From	Phyla	NMDC_ID
SRR10066347_metaspades_bin_refinement.10	SRR10066347_metaspades_bin_refinement.10_c00019_NODE_87...region001.gbk	23118	terpene	Terpene	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__	New	Single	p__Proteobacteria	NMDC60065540
SRR10066347_metaspades_bin_refinement.10	SRR10066347_metaspades_bin_refinement.10_c00032_NODE_14...region001.gbk	19599	terpene	Terpene	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__	New	Single	p__Proteobacteria	NMDC60065540
SRR10066347_metaspades_bin_refinement.12	SRR10066347_metaspades_bin_refinement.12_c00003_NODE_23...region001.gbk	33629	T3PKS	PKSother	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus_B;s__	New	Single	p__Proteobacteria	NMDC60065541
SRR10066347_metaspades_bin_refinement.12	SRR10066347_metaspades_bin_refinement.12_c00009_NODE_48...region001.gbk	20177	terpene	Terpene	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus_B;s__	New	Single	p__Proteobacteria	NMDC60065541
SRR10066347_metaspades_bin_refinement.15	SRR10066347_metaspades_bin_refinement.15_c00006_NODE_10...region001.gbk	21823	terpene	Terpene	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Schlegelella_A;s__	New	Single	p__Proteobacteria	NMDC60065543
SRR10066347_metaspades_bin_refinement.15	SRR10066347_metaspades_bin_refinement.15_c00025_NODE_46...region001.gbk	10843	RiPP-like	RiPPs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Schlegelella_A;s__	New	Single	p__Proteobacteria	NMDC60065543
SRR10066347_metaspades_bin_refinement.15	SRR10066347_metaspades_bin_refinement.15_c00027_NODE_50...region001.gbk	10823	RiPP-like	RiPPs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Schlegelella_A;s__	New	Single	p__Proteobacteria	NMDC60065543
SRR10066347_metaspades_bin_refinement.15	SRR10066347_metaspades_bin_refinement.15_c00036_NODE_68...region001.gbk	19275	terpene	Terpene	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Schlegelella_A;s__	New	Single	p__Proteobacteria	NMDC60065543
SRR10066347_metaspades_bin_refinement.15	SRR10066347_metaspades_bin_refinement.15_c00122_NODE_71...region001.gbk	8816	redox-cofactor	RiPPs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Schlegelella_A;s__	New	Single	p__Proteobacteria	NMDC60065543
SRR10066347_metaspades_bin_refinement.15	SRR10066347_metaspades_bin_refinement.15_c00130_NODE_82...region001.gbk	8190	terpene	Terpene	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Schlegelella_A;s__	New	Single	p__Proteobacteria	NMDC60065543
