GenomeID	Region_filename	Region_length	Product_prediction	BiG-SCAPE_class	GTDB	Type	From	Phyla	NMDC_ID
SRR13162838_metaspades_bin_refinement.101	SRR13162838_metaspades_bin_refinement.101_c00014_NODE_70...region001.gbk	34359	hglE-KS	PKSother	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera;s__	New	Single	p__Actinobacteriota	NMDC60098467
SRR13162838_metaspades_bin_refinement.15	SRR13162838_metaspades_bin_refinement.15_c00073_NODE_13...region001.gbk	8141	terpene	Terpene	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__CAIYMF01;g__WLRQ01;s__	New	Single	p__Actinobacteriota	NMDC60098473
SRR13162838_metaspades_bin_refinement.15	SRR13162838_metaspades_bin_refinement.15_c00113_NODE_21...region001.gbk	5774	terpene	Terpene	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__CAIYMF01;g__WLRQ01;s__	New	Single	p__Actinobacteriota	NMDC60098473
SRR13162838_metaspades_bin_refinement.15	SRR13162838_metaspades_bin_refinement.15_c00114_NODE_22...region001.gbk	5701	indole	Others	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__CAIYMF01;g__WLRQ01;s__	New	Single	p__Actinobacteriota	NMDC60098473
SRR13162838_metaspades_bin_refinement.15	SRR13162838_metaspades_bin_refinement.15_c00117_NODE_22...region001.gbk	5647	T3PKS	PKSother	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__CAIYMF01;g__WLRQ01;s__	New	Single	p__Actinobacteriota	NMDC60098473
SRR13162838_metaspades_bin_refinement.18	SRR13162838_metaspades_bin_refinement.18_c00030_NODE_21...region001.gbk	15900	terpene	Terpene	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Palsa-1104;g__SHYY01;s__	New	Single	p__Myxococcota	NMDC60098474
SRR13162838_metaspades_bin_refinement.18	SRR13162838_metaspades_bin_refinement.18_c00035_NODE_21...region001.gbk	25130	ladderane	Others	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Palsa-1104;g__SHYY01;s__	New	Single	p__Myxococcota	NMDC60098474
SRR13162838_metaspades_bin_refinement.18	SRR13162838_metaspades_bin_refinement.18_c00084_NODE_40...region001.gbk	17470	resorcinol	Others	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Palsa-1104;g__SHYY01;s__	New	Single	p__Myxococcota	NMDC60098474
SRR13162838_metaspades_bin_refinement.18	SRR13162838_metaspades_bin_refinement.18_c00107_NODE_49...region001.gbk	15350	NRPS-like	NRPS	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Palsa-1104;g__SHYY01;s__	New	Single	p__Myxococcota	NMDC60098474
SRR13162838_metaspades_bin_refinement.18	SRR13162838_metaspades_bin_refinement.18_c00142_NODE_62...region001.gbk	13383	terpene	Terpene	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Palsa-1104;g__SHYY01;s__	New	Single	p__Myxococcota	NMDC60098474
SRR13162838_metaspades_bin_refinement.18	SRR13162838_metaspades_bin_refinement.18_c00155_NODE_73...region001.gbk	12069	T3PKS	PKSother	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Palsa-1104;g__SHYY01;s__	New	Single	p__Myxococcota	NMDC60098474
SRR13162838_metaspades_bin_refinement.18	SRR13162838_metaspades_bin_refinement.18_c00171_NODE_78...region001.gbk	10719	terpene	Terpene	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Palsa-1104;g__SHYY01;s__	New	Single	p__Myxococcota	NMDC60098474
SRR13162838_metaspades_bin_refinement.18	SRR13162838_metaspades_bin_refinement.18_c00285_NODE_17...region001.gbk	6776	RRE-containing	RiPPs	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Palsa-1104;g__SHYY01;s__	New	Single	p__Myxococcota	NMDC60098474
SRR13162838_metaspades_bin_refinement.1	SRR13162838_metaspades_bin_refinement.1_c00001_NODE_26...region001.gbk	31244	NRPS-like	NRPS	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2100;g__UBA10103;s__	New	Single	p__Patescibacteria	NMDC60098465
SRR13162838_metaspades_bin_refinement.20	SRR13162838_metaspades_bin_refinement.20_c00007_NODE_17...region001.gbk	41194	arylpolyene	Others	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Gallionella;s__Gallionella sp013044075	Annotated	Single	p__Proteobacteria	NMDC60098476
SRR13162838_metaspades_bin_refinement.20	SRR13162838_metaspades_bin_refinement.20_c00030_NODE_24...region001.gbk	21077	terpene	Terpene	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Gallionella;s__Gallionella sp013044075	Annotated	Single	p__Proteobacteria	NMDC60098476
SRR13162838_metaspades_bin_refinement.24	SRR13162838_metaspades_bin_refinement.24_c00079_NODE_11...region001.gbk	8798	RiPP-like	RiPPs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA5335;f__UBA5335;g__Macondimonas;s__Macondimonas sp002862435	Annotated	Single	p__Proteobacteria	NMDC60098479
