GenomeID	Region_filename	Region_length	Product_prediction	BiG-SCAPE_class	GTDB	Type	From	Phyla	NMDC_ID
SRR1574693_metaspades_bin_refinement.1	SRR1574693_metaspades_bin_refinement.1_c00008_NODE_8_...region001.gbk	41944	NRPS-like	NRPS	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445	Annotated	Single	p__Proteobacteria	NMDC60122172
SRR1574693_metaspades_bin_refinement.1	SRR1574693_metaspades_bin_refinement.1_c00009_NODE_9_...region001.gbk	11680	ectoine	Others	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445	Annotated	Single	p__Proteobacteria	NMDC60122172
SRR1574693_metaspades_bin_refinement.1	SRR1574693_metaspades_bin_refinement.1_c00012_NODE_12...region001.gbk	20667	terpene	Terpene	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445	Annotated	Single	p__Proteobacteria	NMDC60122172
SRR1574693_metaspades_bin_refinement.1	SRR1574693_metaspades_bin_refinement.1_c00037_NODE_40...region001.gbk	15397	terpene	Terpene	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445	Annotated	Single	p__Proteobacteria	NMDC60122172
SRR5990695_metaspades_bin_refinement.1	SRR5990695_metaspades_bin_refinement.1_c00026_NODE_28...region001.gbk	19162	terpene	Terpene	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Oceanobacillus;s__	New	Single	p__Firmicutes	NMDC60123340
SRR5990695_metaspades_bin_refinement.1	SRR5990695_metaspades_bin_refinement.1_c00099_NODE_10...region001.gbk	12339	terpene	Terpene	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Oceanobacillus;s__	New	Single	p__Firmicutes	NMDC60123340
SRR5990695_metaspades_bin_refinement.1	SRR5990695_metaspades_bin_refinement.1_c00165_NODE_19...region001.gbk	8347	lassopeptide	RiPPs	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Oceanobacillus;s__	New	Single	p__Firmicutes	NMDC60123340
SRR5990695_metaspades_bin_refinement.1	SRR5990695_metaspades_bin_refinement.1_c00187_NODE_24...region001.gbk	7482	RiPP-like.LAP	RiPPs	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Oceanobacillus;s__	New	Single	p__Firmicutes	NMDC60123340
SRR5990695_metaspades_bin_refinement.1	SRR5990695_metaspades_bin_refinement.1_c00203_NODE_28...region001.gbk	6873	T3PKS	PKSother	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Oceanobacillus;s__	New	Single	p__Firmicutes	NMDC60123340
SRR5990695_metaspades_bin_refinement.1	SRR5990695_metaspades_bin_refinement.1_c00211_NODE_31...region001.gbk	6597	ectoine	Others	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Oceanobacillus;s__	New	Single	p__Firmicutes	NMDC60123340
