GenomeID	Region_filename	Region_length	Product_prediction	BiG-SCAPE_class	GTDB	Type	From	Phyla	NMDC_ID
SRR10095340_metaspades_bin_refinement.19	SRR10095340_metaspades_bin_refinement.19_c00010_NODE_61...region001.gbk	20969	terpene	Terpene	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__UBA3940;g__;s__	New	Single	p__Chloroflexota	NMDC60090776
SRR10095340_metaspades_bin_refinement.19	SRR10095340_metaspades_bin_refinement.19_c00019_NODE_13...region001.gbk	14770	terpene	Terpene	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__UBA3940;g__;s__	New	Single	p__Chloroflexota	NMDC60090776
SRR10095340_metaspades_bin_refinement.1	SRR10095340_metaspades_bin_refinement.1_c00038_NODE_83...region001.gbk	20888	terpene	Terpene	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA2268;g__SpSt-478;s__	New	Single	p__Bacteroidota	NMDC60090768
SRR10095340_metaspades_bin_refinement.1	SRR10095340_metaspades_bin_refinement.1_c00118_NODE_35...region001.gbk	9133	terpene	Terpene	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA2268;g__SpSt-478;s__	New	Single	p__Bacteroidota	NMDC60090768
SRR10095340_metaspades_bin_refinement.20	SRR10095340_metaspades_bin_refinement.20_c00008_NODE_49...region001.gbk	7235	ladderane	Others	d__Bacteria;p__Desulfobacterota;c__JdFR-97;o__JdFR-97;f__JdFR-97;g__;s__	New	Single	p__Desulfobacterota	NMDC60090777
SRR10095340_metaspades_bin_refinement.22	SRR10095340_metaspades_bin_refinement.22_c00044_NODE_68...region001.gbk	5822	terpene	Terpene	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__DSPP01;f__WJJR01;g__JACQFV01;s__	New	Single	p__Zixibacteria	NMDC60090778
SRR10095340_metaspades_bin_refinement.23	SRR10095340_metaspades_bin_refinement.23_c00014_NODE_16...region001.gbk	25191	betalactone	Others	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__JACAEX01;s__JACAEX01 sp013388635	Annotated	Single	p__Desulfobacterota	NMDC60090779
SRR10095340_metaspades_bin_refinement.24	SRR10095340_metaspades_bin_refinement.24_c00010_NODE_50...region001.gbk	15830	betalactone	Others	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__DSLH01;s__	New	Single	p__Thermoproteota	NMDC60090780
SRR10095340_metaspades_bin_refinement.25	SRR10095340_metaspades_bin_refinement.25_c00001_NODE_2_...region001.gbk	28389	betalactone	Others	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__JACAEN01;s__JACAEN01 sp013388845	Annotated	Single	p__Chloroflexota	NMDC60090781
SRR10095340_metaspades_bin_refinement.27	SRR10095340_metaspades_bin_refinement.27_c00018_NODE_14...region001.gbk	16630	terpene	Terpene	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA12294;s__UBA12294 sp013388685	Annotated	Single	p__Chloroflexota	NMDC60090782
